timestamp,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz
5.16666667,0.96129560,0.18539871,1.50000000,0.06887977,-0.14843123,0.00000000
5.20000000,0.96355819,0.18042548,1.50000000,0.06687471,-0.14995553,0.00000000
5.23333333,0.96575386,0.17540214,1.50000000,0.06486500,-0.15143818,0.00000000
5.26666667,0.96788247,0.17033007,1.50000000,0.06285078,-0.15287877,0.00000000
5.30000000,0.96994386,0.16521069,1.50000000,0.06083220,-0.15427688,0.00000000
5.33333333,0.97193790,0.16004542,1.50000000,0.05880939,-0.15563215,0.00000000
5.36666667,0.97386444,0.15483569,1.50000000,0.05678250,-0.15694418,0.00000000
5.40000000,0.97572336,0.14958296,1.50000000,0.05475167,-0.15821262,0.00000000
5.43333333,0.97751451,0.14428867,1.50000000,0.05271704,-0.15943712,0.00000000
5.46666667,0.97923779,0.13895431,1.50000000,0.05067874,-0.16061732,0.00000000
5.50000000,0.98089306,0.13358135,1.50000000,0.04863693,-0.16175292,0.00000000
5.53333333,0.98248021,0.12817128,1.50000000,0.04659173,-0.16284358,0.00000000
5.56666667,0.98399914,0.12272561,1.50000000,0.04454331,-0.16388901,0.00000000
5.60000000,0.98544973,0.11724585,1.50000000,0.04249179,-0.16488891,0.00000000
5.63333333,0.98683189,0.11173353,1.50000000,0.04043731,-0.16584301,0.00000000
5.66666667,0.98814552,0.10619016,1.50000000,0.03838003,-0.16675105,0.00000000
5.70000000,0.98939053,0.10061730,1.50000000,0.03632009,-0.16761277,0.00000000
5.73333333,0.99056683,0.09501650,1.50000000,0.03425762,-0.16842793,0.00000000
5.76666667,0.99167434,0.08938930,1.50000000,0.03219277,-0.16919630,0.00000000
5.80000000,0.99271299,0.08373727,1.50000000,0.03012569,-0.16991768,0.00000000
5.83333333,0.99368270,0.07806197,1.50000000,0.02805652,-0.17059186,0.00000000
5.86666667,0.99458340,0.07236500,1.50000000,0.02598540,-0.17121865,0.00000000
5.90000000,0.99541504,0.06664793,1.50000000,0.02391247,-0.17179789,0.00000000
5.93333333,0.99617755,0.06091234,1.50000000,0.02183788,-0.17232940,0.00000000
5.96666667,0.99687088,0.05515983,1.50000000,0.01976178,-0.17281304,0.00000000
6.00000000,0.99749499,0.04939200,1.50000000,0.01768430,-0.17324869,0.00000000
6.03333333,0.99804982,0.04361045,1.50000000,0.01560560,-0.17363621,0.00000000
6.06666667,0.99853535,0.03781679,1.50000000,0.01352581,-0.17397549,0.00000000
6.10000000,0.99895153,0.03201262,1.50000000,0.01144508,-0.17426646,0.00000000
6.13333333,0.99929834,0.02619957,1.50000000,0.00936356,-0.17450901,0.00000000
6.16666667,0.99957576,0.02037923,1.50000000,0.00728139,-0.17470310,0.00000000
6.20000000,0.99978376,0.01455323,1.50000000,0.00519871,-0.17484865,0.00000000
6.23333333,0.99992234,0.00872319,1.50000000,0.00311567,-0.17494564,0.00000000
6.26666667,0.99999147,0.00289073,1.50000000,0.00103241,-0.17499403,0.00000000
6.30000000,0.99999116,-0.00294254,1.50000000,-0.00105092,-0.17499382,0.00000000
6.33333333,0.99992141,-0.00877499,1.50000000,-0.00313417,-0.17494499,0.00000000
6.36666667,0.99978222,-0.01460500,1.50000000,-0.00521721,-0.17484757,0.00000000
6.40000000,0.99957360,-0.02043095,1.50000000,-0.00729988,-0.17470159,0.00000000
6.43333333,0.99929557,-0.02625123,1.50000000,-0.00938205,-0.17450707,0.00000000
6.46666667,0.99894814,-0.03206422,1.50000000,-0.01146356,-0.17426409,0.00000000
6.50000000,0.99853134,-0.03786830,1.50000000,-0.01354428,-0.17397269,0.00000000
6.53333333,0.99804520,-0.04366186,1.50000000,-0.01562406,-0.17363298,0.00000000
6.56666667,0.99748975,-0.04944329,1.50000000,-0.01770276,-0.17324503,0.00000000
6.60000000,0.99686503,-0.05521099,1.50000000,-0.01978022,-0.17280896,0.00000000
6.63333333,0.99617108,-0.06096336,1.50000000,-0.02185631,-0.17232489,0.00000000
6.66666667,0.99540796,-0.06669879,1.50000000,-0.02393089,-0.17179295,0.00000000
6.70000000,0.99457571,-0.07241569,1.50000000,-0.02600380,-0.17121329,0.00000000
6.73333333,0.99367439,-0.07811248,1.50000000,-0.02807490,-0.17058608,0.00000000
6.76666667,0.99270407,-0.08378757,1.50000000,-0.03014406,-0.16991148,0.00000000
6.80000000,0.99166481,-0.08943939,1.50000000,-0.03221112,-0.16918968,0.00000000
6.83333333,0.99055669,-0.09506636,1.50000000,-0.03427595,-0.16842089,0.00000000
6.86666667,0.98937977,-0.10066693,1.50000000,-0.03633840,-0.16760532,0.00000000
6.90000000,0.98813415,-0.10623953,1.50000000,-0.03839832,-0.16674319,0.00000000
6.93333333,0.98681992,-0.11178262,1.50000000,-0.04045557,-0.16583474,0.00000000
6.96666667,0.98543715,-0.11729467,1.50000000,-0.04251002,-0.16488023,0.00000000
7.00000000,0.98398595,-0.12277413,1.50000000,-0.04456151,-0.16387992,0.00000000
7.03333333,0.98246641,-0.12821949,1.50000000,-0.04660991,-0.16283409,0.00000000
7.06666667,0.98087866,-0.13362923,1.50000000,-0.04865508,-0.16174303,0.00000000
7.10000000,0.97922278,-0.13900186,1.50000000,-0.05069686,-0.16060704,0.00000000
7.13333333,0.97749890,-0.14433587,1.50000000,-0.05273512,-0.15942644,0.00000000
7.16666667,0.97570715,-0.14962980,1.50000000,-0.05476973,-0.15820155,0.00000000
